"Inventarnummer","Joins","Image-link","Publikation","CTH","Fundort","Zeit","TLHdig","Anmerkungen"
"248/f",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=248/f)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=248%2Ff); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=248%2Ff)","KUB 29.17","291 | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Bk. C:  Büyükkale r/16. Im Schotter zwischen der 2. und 3. Bauschicht nahe der Burgmauer. - Brauner gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.17)","G. Torri (21.11.2024) erwägt indirekten Join mit KUB 13.13(+);
 s. H.A. Hoffner, Laws, 1997, 71-73 (Sigel N), 79f. (Sigel V);  ↂ s. H.A. Hoffner, Laws, 1997, 71-73 (Sigel N), 79f. (Sigel V); vgl. V. Pisaniello, VO 19, 2015, 271. | KUB 13.13 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 13.13)"
"248/f","+170/q","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=170%2Fq)","KBo 14.64 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=14&n=64)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk.:  Büyükkale, bb/14-15, Schutt der phryg. Burgmauer. - hellbraun-roter gebrannter Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 14.64)","."
"674/f",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=674/f)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=674%2Ff); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=674%2Ff)","KUB 29.33","292.II.c | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. C:  Büyükkale p-r/16-17. Schutt außerhalb der phryg. Burgmauer. - Roter gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.33)","s. H.A. Hoffner, Laws, 1997 (Sigel x);  ↂ s. H.A. Hoffner, Laws, 1997 (Sigel x); vgl. V. Pisaniello, VO 19, 2015, 271.."
"674/f","+363/n","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=363%2Fn)","KBo 9.71 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=9&n=71)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. D:  Büyükkale t/16. - Ziegelroter gebr. Ton, mit hellem Überzug","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 9.71)","."
"674/f","+Bo 743","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20743)","KUB 13.14",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","---:  [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 13.14)","."
"674/f","+Bo 10276","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%2010276)","KUB 13.16",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","---:  [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 13.16)","."
"2104/g",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=2104/g)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2104%2Fg)","KUB 29.15","291.II.c.B | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  Tempel I, Südmagazine, am Südende von Raum 77. - Graubrauner gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.15)","Join von Bo 6292 an Bo 68/233 J. Lorenz (18.1.2005), Join mit E 857 D. Prechel (16.9.2011); s. H.A. Hoffner, Laws, 1997 (Sigel F) und ibid. 72, 162 (Sigel U);  ↂ Join von Bo 6292 an Bo 68/233 J. Lorenz (18.1.2005), Join mit E 857 D. Prechel (16.9.2011); s. H.A. Hoffner, Laws, 1997 (Sigel F) und ibid. 72, 162 (Sigel U); vgl. A. Kammenhuber, 1974 = THeth 19/2, 1993, 543f.; J. Puhvel, KZ 120, 2007, 63; B. Christiansen, ZAR 21, 2015, 34; W.J.I. Waal, StBoT 57, 2015, 258f."
"2104/g","+1451/u","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1451%2Fu)","KBo 19.4 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=4)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I:  aus Grabungsschutt L/19. - grauer, gebr. Ton, mit gelbbrauner Oberfläche","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.4)","."
"2104/g","+Bo 2113","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202113)","KBo 6.8 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=6&n=8)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 6.8)","."
"2104/g","(+)Bo 6292","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%206292)","KUB 40.32",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 40.32)","."
"2104/g","(+)Bo 10275","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%2010275)","KUB 13.11",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 13.11)","."
"2104/g","(+)Bo 68/233","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%2068%2F233); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=Bo%2068%2F233)","KBo 19.3 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=3)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I:  Südareal, 5/58 Süd, Schutt über heth. Mauer, Raum delta, stratum 1. - hellbrauner, im Kern grauer gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.3)","."
"2104/g","+E 857","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=E%20857); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=E%20857)","KBo 67.195",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I:  T.I, Magazin 12","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 67.195)","."
"84/h",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=84%2Fh)","KBo 16.61 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=61)","295.9 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Unterstadt:  K/20, Schicht 1. - Grauer Ton, etwas weich","mh.?","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.61)","ↂ  vgl. G. Beckman, FsOtten², 1988, 39; N. Tani, Eothen 10, 1999, 170f.; H. Klengel, FsWegner, 2007, 157 Anm. 22 (verschrieben als KBo 16.6), 159 Anm. 31; N. Oettinger, GsOtten, 2015, 163. | KBo 16.6 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 16.6)"
"135/h",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=135%2Fh); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=135%2Fh)","KBo 9.70 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=9&n=70)","291.II.d | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Unterstadt:  K/20, Schicht 1. - Grauer gebr. Ton","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 9.70)","s. H.A. Hoffner, Laws, 1997 (Sigel T). ↂ s. H.A. Hoffner, Laws, 1997 (Sigel T)."
"12/l",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=12%2Fl)","KBo 8.30 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=8&n=30)","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Bk. D:  Büyükkale o/12, Gebäude D, Raum 11, Schutt. - Hellbrauner gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 8.30)","ↂ  vgl. H. Klengel, OA 7, 1968, 71 mit Anm. 22; id., HbOr I/34, 1999, 250 [A41]; S. de Martino, GsImparati2, 2010, 110; J. Glocker, AoF 38, 2011, 269f."
"73/l",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=73%2Fl)","KBo 8.32 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=8&n=32)","295.8 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Bk. D:  Büyükkale p/12, Gebäude D, Raum 12, heth. Schutt. - Grauer gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 8.32)","ↂ  vgl. H. Klengel, HbOr I/34, 1999, 250 [A41]; id., MDOG 132, 2000, 249 mit Anm. 71; N. Tani, Eothen 10, 1999, 192; Th. van den Hout, FsArchi, 2010, 260; W. Waal, AnSt 61, 2011, 25; ead., StBoT 57, 2015, 262; M. Vigo, AOAT 440, 2018, 303."
"191/n",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=191%2Fn); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=191%2Fn)","KBo 9.69 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=9&n=69)","291 | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I *:  gekauft, angeblich aus dem Gebiet des Großen Tempels. - Hellbrauner gebr. Ton, innen grau","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 9.69)","Join J. Lorenz (15.1.2013); s. H.A. Hoffner, Laws, 94f. (Sigel Y, auf S. 162 als Sigel Z aufgezählt). ↂ Join J. Lorenz (15.1.2013); s. H.A. Hoffner, Laws, 94f. (Sigel Y, auf S. 162 als Sigel Z aufgezählt)."
"191/n","+E 1399","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=E%201399); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=E%201399)","KBo 69.80",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 69.80)","."
"11/p",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=11%2Fp); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=11%2Fp)","KBo 31.64","292 | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","---:  Von Bauern gebracht. - Grauer gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.64)","s. H.A. Hoffner, Laws, 1997, 118f. (Sigel r). ↂ s. H.A. Hoffner, Laws, 1997, 118f. (Sigel r)."
"96/q",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=96/q)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=96%2Fq)","KBo 14.65 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=14&n=65)","291.II.c.H | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Bk. G:  Büyükkale v/11, Schutt unter phrygischer Gebäudemauer. - Gebr. Ton, Oberfl. rotbraun, Bruch z.T. grau.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 14.65)","s. H.A. Hoffner, Laws, 1997, 88-90, 97f. (Sigel W). ↂ s. H.A. Hoffner, Laws, 1997, 88-90, 97f. (Sigel W)."
"96/q","(+)Bo 88/5","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%2088%2F5)","KBo 31.62",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. K:  Büyükkale, Gebäude K (Südwest). Grabungsschutt. - Hellroter, fein gemagerter Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.62)","."
"134/q",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=134/q)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=134%2Fq); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=134%2Fq)","KBo 14.66 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=14&n=66)","292.I.b.E | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  Büyükkale v/12, unter phrygischem Pflaster. - Braunroter gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 14.66)","s. H.A. Hoffner, Laws, 1997, 111, 123-125 (Sigel q). ↂ s. H.A. Hoffner, Laws, 1997, 111, 123-125 (Sigel q)."
"134/q","(+)Bo 8552","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%208552)","KUB 48.78",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A *:  Fundort bestimmt durch Join","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 48.78)","."
"214/q",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=214%2Fq)","KBo 31.45","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","---:  Gekauft, wohl Tempel I. - Grauer gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.45)","."
"261/q",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=261%2Fq); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=261%2Fq)","KBo 14.67 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=14&n=67)","292.I.b | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  Büyükkale v/11, zwischen kleinen Steinen über Brandschicht, wohl von Gebäude A. - Roter gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 14.67)","s. H.A. Hoffner, Laws, 1997, 121-123 (Sigel t). ↂ s. H.A. Hoffner, Laws, 1997, 121-123 (Sigel t)."
"137/r",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=137/r)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=137%2Fr)","KBo 16.64 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=64)","294.1 | 294 (javascript:inf('../CTH/cthfix.php?c=294','CTH'))","Bk. E:  Büyükkale i-k/13, Gebäude E, Mittelraum. - Hellbrauner gebr. Ton, z.T. verbrannt (am oberen rechten Bruchrand durch Brand aufgeworfen).","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.64)","ↂ  vgl. HZL, 1989, 95; V. Haas, HbOr I/15, 1994, 531 Anm. 316; N. Tani, Eothen 10, 1999, 176, 181, ead., GsImparati, 2002, 828, erwägt auch Zugehörigkeit von KBo 31.43 (= 2198/c); G. Beckman, CoS 1, 2003, 215; M. Marizza, SMEA 48, 2006, 167; P. Cotticelli Kurras, FsDinçol, 2007, 140; Li Zheng, 7. IKH, 2010, 1021; A. Kloekhorst, AOAT 391, 2011, 166; S. de Martino, Eothen 18, 2011, 39, 85; Ch. Lebrun, PIOL 66, 2014, 44; E. Devecchi, Philippika 86,1, 2015, 231. | KBo 31.43 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 31.43); 2198/c (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=2198/c)"
"137/r","(+)Bo 543","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20543)","KUB 31.76",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. E *:  Fundort bestimmt durch Join - [In Istanbul]","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 31.76)","."
"137/r","(+)Bo 4867","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%204867)","KUB 40.88",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. E *:  Fundort bestimmt durch Join","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 40.88)","."
"137/r","(+)YBC 16149","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=YBC%2016149)","HFAC 6",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. E *:  Fundort bestimmt durch Join","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=HFAC 6)","."
"159/r",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=159%2Fr)","KBo 46.3","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Bk. E:  Büyükkale h-k/13-14, Gebäude E, ""Archivräume"". - Gelbgrauer grober gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 46.3)","s. D. Groddek, DBH 47, 2015, 1f.;  ↂ s. D. Groddek, DBH 47, 2015, 1f.; vgl. D. Groddek, BiOr 62, 2005, 307."
"240/r",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=240%2Fr)","KBo 31.47","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Bk. K:  Büyükkale in rotem Brandschutt vor unterster Terrassenmauer vor Geb. K, an hangwärts verlaufenden Mauer. - ziegelroter gebr. Ton mit hellem Überzug auf der Schriftfläche","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.47)","ↂ  vgl. F. Starke, StBoT 31, 1990, 457; M. Marazzi, FsBelardi, 1994, 156 Anm. 69."
"294/s",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=294%2Fs); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=294%2Fs)","KBo 12.48 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=12&n=48)","291.II.d | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","HaH:  L/18, Haus am Hang, in Makridischutt (b 6). - hellroter gebr. Ton mit gelblichem Überzug","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 12.48)","s. H.A. Hoffner, Laws, 1997, 21-23 (Sigel X).  Fundortangabe op.cit., S. 162 ""SE of Temple I"", cf. Fundbericht; G. Torri  F.G. Barsacchi, DBH 50, 2018, 53f. ↂ s. H.A. Hoffner, Laws, 1997, 21-23 (Sigel X).  Fundortangabe op.cit., S. 162 ""SE of Temple I"", cf. Fundbericht; G. Torri  F.G. Barsacchi, DBH 50, 2018, 53f."
"568/s",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=568%2Fs)","KBo 12.24 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=12&n=24)","297.16 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","HaH:  L/18, Haus am Hang, b-c/6, zwischen nachheth. Mauern. - hellgelber, sehr weicher gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 12.24)","s. G. Torri  F.G. Barsacchi, DBH 50, 2018, 25f. ↂ s. G. Torri  F.G. Barsacchi, DBH 50, 2018, 25f."
"318/t",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=318%2Ft)","KBo 13.74 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=13&n=74)","297.17 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","HaH:  L/18 b/5, nachheth. Bereich. - Brauner gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 13.74)","s. G. Torri  F.G. Barsacchi, DBH 51, 2018, 89 (CTH 219). ↂ s. G. Torri  F.G. Barsacchi, DBH 51, 2018, 89 (CTH 219). | 219 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?c=219); 219 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?c=219)"
"451/u",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=451%2Fu); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=451%2Fu)","KBo 22.68 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=22&n=68)","291 | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  aus altem Grabungsschutt, L/19. - hellgrauer, gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 22.68)","s. D. Groddek, DBH 24, 2008, 69. ↂ s. D. Groddek, DBH 24, 2008, 69."
"498/u",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=498%2Fu); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=498%2Fu)","KBo 19.5 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=5)","291.II.d | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  aus altem Grabungsschutt, L/19. - hellbrauner gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.5)","s. H.A. Hoffner, Laws, 1997, 96-98 (Sigel Z bzw. AA, so ibid. S. 162). ↂ s. H.A. Hoffner, Laws, 1997, 96-98 (Sigel Z bzw. AA, so ibid. S. 162)."
"506/u",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=506%2Fu)","KBo 51.7","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","T.I:  aus altem Grabungsschutt, L/19. - rotbrauner gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 51.7)","."
"664/u",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=664%2Fu); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=664%2Fu)","KBo 19.8 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=8)","292.II.d | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","T.I:  aus altem Grabungsschutt, L/19. - hellgrauer, gebr. Ton, Vorders. mit dunklem Überzug.","k.A.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.8)","G. Torri und L. Warbinek (16.07.2025) vermuten einen Join mit KBo 6.10+; ↂ  vgl. H.A. Hoffner, Laws, 1997, 164 (Sigel bb). | KBo 6.10 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.10)"
"1051/u",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=1051/u)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1051%2Fu)","KBo 52.59","291.II.c.G | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  Grabungsschutt L/19. - ockerfarbener, gebr. Ton, mit blanker Schriftseite.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 52.59)","Join J. Lorenz (11.3.2016); s. H.A. Hoffner, Laws, 1997, 162 (Sigel R). ↂ Join J. Lorenz (11.3.2016); s. H.A. Hoffner, Laws, 1997, 162 (Sigel R)."
"1051/u","+Bo 2118","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202118)","KBo 6.21 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=6&n=21)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join; cf. J. Siegelová, Hrozný, 2015, 68: ""... kann man m.E. voraussetzen, dass sie [sc. Fragmente] aus dem Großen Tempel stammen"". - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 6.21)","."
